Replicate,Target,Top25,n_klan,n_racial_electoral,n_state_terror
34,terrorism,"eczema, municipal_council, willing_entertain, marathon, antemortem, extreme_measure, unauthorized, turbine, substantiate, meridian_miss, predilection, sterner_measure, write_letter, crime_commit, arming, outlaws, census_enumeration, east_west, boycotter, campaigning, lawlessness, east, louisiana_mississippi, consolidated, interpose",0,1,0
34,terrorist,"violence_intimidation, itchy, respectfully_urge, espionage, spy, disgraceful, ex_change, loaded, universal_suffrage, illegal, compulsory, cowardice, benevolent_association, marathon, propound, unskilled_labor, amply_sufficient, mississippi_louisiana, actually, despotic, audacity, legalize, brigandage, protective, reservation",0,0,0
35,terrorism,"refuse_recognize, indignity, tete, polite_cal, entitle_representation, republican_candidate, select_delegate, peterson, interfere_purity, entitle_respect, white_plains, maliciously, canals, sixteen, gist, tennessee, vast_majority, prevent_interference, andrews, auditor, diffuse, recite, resolution_authorize, aggression, debris",0,0,0
35,terrorist,"intent_purpose, discernible, impunity, rational, dodge, fraud_intimidation, dread, mississippi_louisiana, ney, bribery, espionage, reign_terror, repugnant, ostracism, freebooter, lease_land, virtual, priest, tante, transformation, solitary_confinement, dare, manual, resorted, unpunished",0,1,1
36,terrorism,"populist, onslaught, arkansas, tennis, dickinson, intimidation, amply_sufficient, antagonize, plat_form, republican_majority, missouri_kansas, florida_louisiana, reign_terror, rubbish, illusory, speak_freely, ostracism, conclusive_proof, mississippi_louisiana, interesting_alabama, tour, insert, civil_right, hairdressing, plausible",0,3,1
36,terrorist,"australian, irresponsible, outrage, drawback, sympathizer, compulsory, covert, intimidation, salad, military_dictatorship, vagary, fateful, perishe, smack, tranquility, ostracism, fatally, bloody, coquette, reign_terror, modern_civilized, england_scotland, lawless, absurd, vicious",0,1,1
37,terrorism,"violence_intimidation, east_west, riot_tumult, civil_liberty, arkansas, florida, intimidation, bloodshed, widespread, protest, jefferson, penetration, prevail, outrage, axis, entitle_respect, louisiana_mississippi, organized, georgia, deliberate_attempt, democratic_nomination, judiciary_committee, corrupt_practice, crime_commit, differ_opinion",0,4,0
37,terrorist,"solemn_responsibility, disorderly, brigandage, solitary_confinement, strong_feeling, vigilance, espionage, tyranny, netherlands, patent, landgrave, cruelty, weekly_meeting, virtual, reign_terror, utmost_care, invention, proscription, ecclesiastical, woods, violence_intimidation, ex_change, benevolent_association, odious, hitch",0,0,2
38,terrorism,"preserved, wrest, correspondent_sov_proquest, rhode_island, congressional_committee, extreme_measure, national_council, proclivity, hillock, transparent, audacity, white_negro, threat, nerves, waddle, slavery, prop_ety, merciless, twofold, serenity, duct, unconstitutional, perish, ostracism, intima_nation",0,0,0
38,terrorist,"ostracism, bestow_blessing, rationally, violent_resistance, smack, australian, atrocity, outrage, public_school, discernible, resorted, espionage, universal_suffrage, irresponsible, solemn_responsibility, proper_function, brigandage, intent_purpose, anxious_avoid, procedure, heating, needless, ontario, cruelty, boycott",0,0,0
39,terrorism,"indignity, sustain, accusation, alabama_arkansas, arkansas, adams, georgia_alabama, louisiana_mississippi, oxford_miss, evidence, treasury_department, charge_offense, retro, electoral, wilke_tooth, proved, thief, florida, criminal_prosecution, xviii, democratic_reform, pro_ducked, strong, indirect, committee_subcommittee",0,4,0
39,terrorist,"solitary_confinement, strong_feeling, half_hour, cascade, tonic, woods, reign_terror, espionage, drawback, thrive, troublesome, cruelty, seem_likely, forcibly, systematic, saxon, ingenious, coercion, gigantic, virtual, constitutional_restraint, wrongdoer, tactic, coerce_join, external",0,0,1
40,terrorism,"arkansas, ratify, beneficial_effect, somewhat_different, legislature_elect, absolute_power, hawaiian, supervisor, louisiana_mississippi, hampton, mississippi_louisiana, vive, outcry, intimidation_violence, reiterate, auto, verbal, subversive, legislation_pass, patriarch, ascertain, decisive, missouri_kentucky, taft, equidistant",0,4,0
40,terrorist,"utmost_care, unwarrantable, intimidation, intent_purpose, hateful, browbeat, impossible, perpetrate, selfish, espionage, irresponsible, follower, violence, advent, public_school, reestablish, unalterably, violence_bloodshed, arkansas_mississippi, dark_age, speculator, lawless, smack, pilgrimage, intimidation_violence",0,2,0
